protein_id,source_molecule,source_molecule_iri,pathogen,length,molecular_weight,isoelectric_point,gravy,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
12038910,Polymerase A Protein [Influenza A virus (A/Hong Kong/532/1997(H5N1))],http://www.ncbi.nlm.nih.gov/protein/12038910,Influenza A,716,82666.6576,5.41461887359619,-0.4622905027932961,5.307262569832402,2.374301675977654,5.307262569832402,10.614525139664805,5.027932960893855,5.027932960893855,1.9553072625698324,7.402234636871508,7.122905027932961,8.659217877094973,3.631284916201117,4.329608938547486,4.4692737430167595,2.5139664804469275,6.005586592178771,6.983240223463687,5.307262569832402,3.631284916201117,1.675977653631285,2.653631284916201,1
1384890435,matrix protein 1 [Influenza A virus],http://www.ncbi.nlm.nih.gov/protein/1384890435,Influenza A,252,27910.9538,9.320403861999512,-0.22063492063492063,9.523809523809524,1.1904761904761905,2.7777777777777777,6.746031746031746,2.7777777777777777,6.349206349206349,1.9841269841269842,3.1746031746031744,4.761904761904762,10.714285714285714,5.555555555555555,3.9682539682539684,3.1746031746031744,5.555555555555555,7.142857142857143,6.746031746031746,8.333333333333334,7.142857142857143,0.3968253968253968,1.9841269841269842,1
1384890457,matrix protein 2 [Influenza A virus],http://www.ncbi.nlm.nih.gov/protein/1384890457,Influenza A,97,11147.6053,5.13997287750244,-0.2175257731958763,3.0927835051546393,3.0927835051546393,6.185567010309279,9.278350515463918,4.123711340206185,7.216494845360825,2.0618556701030926,8.24742268041237,3.0927835051546393,10.309278350515465,2.0618556701030926,2.0618556701030926,4.123711340206185,3.0927835051546393,8.24742268041237,8.24742268041237,4.123711340206185,6.185567010309279,2.0618556701030926,3.0927835051546393,0
1384890507,nucleocapsid protein [Influenza A virus],http://www.ncbi.nlm.nih.gov/protein/1384890507,Influenza A,498,56252.1391,9.469003486633301,-0.5666666666666667,7.6305220883534135,1.2048192771084338,4.216867469879518,7.429718875502008,3.8152610441767068,8.433734939759036,1.4056224899598393,6.224899598393574,3.21285140562249,6.224899598393574,4.618473895582329,5.421686746987952,3.21285140562249,4.417670682730924,10.843373493975903,7.6305220883534135,5.823293172690763,4.618473895582329,1.2048192771084338,2.4096385542168677,1
139031,Nucleoprotein,http://www.ncbi.nlm.nih.gov/protein/139031,Influenza A,498,55987.9647,9.349027824401855,-0.5441767068273092,8.23293172690763,1.2048192771084338,4.618473895582329,7.028112449799197,3.4136546184738954,8.23293172690763,1.0040160642570282,6.224899598393574,4.417670682730924,6.42570281124498,4.618473895582329,5.220883534136546,3.4136546184738954,4.216867469879518,9.63855421686747,7.831325301204819,5.622489959839357,4.417670682730924,1.2048192771084338,3.0120481927710845,0
139046,Nucleoprotein,http://www.ncbi.nlm.nih.gov/protein/139046,Influenza A,498,56196.22,9.263091468811034,-0.5815261044176707,8.032128514056225,1.2048192771084338,4.819277108433735,7.228915662650603,3.4136546184738954,7.831325301204819,1.0040160642570282,6.024096385542169,4.819277108433735,6.224899598393574,5.020080321285141,5.421686746987952,3.4136546184738954,4.216867469879518,9.437751004016064,7.831325301204819,5.421686746987952,4.417670682730924,1.2048192771084338,3.0120481927710845,0
139053,Nucleoprotein,http://www.ncbi.nlm.nih.gov/protein/139053,Influenza A,498,56185.99799999999,9.553908348083493,-0.5732931726907631,7.6305220883534135,1.2048192771084338,4.216867469879518,7.228915662650603,3.8152610441767068,8.433734939759036,1.2048192771084338,5.220883534136546,3.0120481927710845,6.626506024096385,4.618473895582329,5.823293172690763,3.21285140562249,4.417670682730924,11.04417670682731,7.831325301204819,5.622489959839357,5.220883534136546,1.2048192771084338,2.4096385542168677,0
139098,Nucleoprotein,http://www.ncbi.nlm.nih.gov/protein/139098,Influenza A,498,56114.0962,9.263220405578611,-0.6030120481927711,7.6305220883534135,1.2048192771084338,4.618473895582329,7.228915662650603,3.4136546184738954,8.23293172690763,1.0040160642570282,5.220883534136546,4.819277108433735,6.626506024096385,5.220883534136546,5.622489959839357,3.6144578313253013,4.216867469879518,9.236947791164658,7.831325301204819,5.622489959839357,4.417670682730924,1.2048192771084338,3.0120481927710845,0
14275699,nucleoprotein [Influenza A virus (A/Hong Kong/1774/99(H3N2))],http://www.ncbi.nlm.nih.gov/protein/14275699,Influenza A,498,56179.118,9.342452049255371,-0.5419678714859438,7.6305220883534135,1.2048192771084338,4.417670682730924,7.228915662650603,3.6144578313253013,8.433734939759036,1.2048192771084338,6.42570281124498,3.6144578313253013,6.42570281124498,4.618473895582329,5.220883534136546,3.21285140562249,4.618473895582329,10.240963855421686,8.032128514056225,5.220883534136546,4.618473895582329,1.2048192771084338,2.8112449799196786,0
1464282840,polymerase PB2 [Influenza A virus],http://www.ncbi.nlm.nih.gov/protein/1464282840,Influenza A,759,85686.0529,9.51258411407471,-0.3085638998682477,5.928853754940712,0.7905138339920948,4.479578392621871,6.719367588932807,3.1620553359683794,6.455862977602108,1.3175230566534915,6.719367588932807,6.19235836627141,8.300395256916996,4.3478260869565215,4.216073781291173,3.689064558629776,4.61133069828722,7.7733860342556,6.982872200263505,6.982872200263505,8.036890645586297,1.3175230566534915,1.976284584980237,1
1464291976,nucleocapsid protein [Influenza A virus],http://www.ncbi.nlm.nih.gov/protein/1464291976,Influenza A,497,55760.5787,9.284366035461428,-0.5887323943661972,7.847082494969819,1.2072434607645874,4.627766599597585,7.2434607645875255,3.6217303822937628,8.651911468812877,1.408450704225352,5.835010060362173,4.82897384305835,6.639839034205232,4.627766599597585,5.4325955734406435,3.420523138832998,4.0241448692152915,9.25553319919517,8.450704225352112,5.030181086519114,4.0241448692152915,1.2072434607645874,2.6156941649899395,1
